x,y
0.82202,0.1675
0.95587,0.0091221
0.87913,0.15943
0.38489,0.55851
0.94356,0.040785
0.42927,0.60479
0.1471,0.84797
0.29858,0.67316
0.68043,0.29689
0.94057,0.070909
0.95428,0.075731
0.59607,0.42001
0.95581,0.10373
0.39546,0.55537
0.022153,0.95033
0.28213,0.63034
0.012802,0.98033
0.86905,0.15324
0.4248,0.56525
0.075402,0.84485
0.12166,0.78626
0.22881,0.81876
0.2093,0.72919
0.87237,0.15714
0.76586,0.22224
0.33447,0.64804
0.37568,0.58886
0.59173,0.41899
0.53029,0.45347
0.32299,0.62423
0.85894,0.12609
0.25315,0.72985
0.94045,0.052637
0.38087,0.62111
0.68244,0.32423
0.26278,0.63203
0.0087067,0.94196
0.94731,0.046564
0.52911,0.47697
0.67021,0.34624
0.60476,0.4052
0.75218,0.22825
0.98918,0.060676
0.72832,0.23644
0.86165,0.082418
1,0.014058
0.76101,0.2672
0.13015,0.88528
0.31554,0.68785
0.0095586,1
0.69425,0.30404
0.96597,0.087746
0.72973,0.31158
0.73766,0.25921
0.15953,0.84985
0.34547,0.67934
0.57094,0.47231
0.45298,0.53007
0.83739,0.20279
0.81859,0.21538
0.31312,0.70625
0.45477,0.57549
0.67308,0.31539
0.59211,0.42042
0.11816,0.90129
0,0.96275
0.10862,0.82668
0.20958,0.79645
0.44186,0.55275
0.52968,0.47555
0.99851,0
0.7177,0.24552
0.98788,0.027957
0.03522,0.97693
0.63494,0.36687
0.96764,0.023135
0.25755,0.72471
0.95636,0.033671
0.90784,0.04037
0.18014,0.81135
0.73478,0.29635
0.15979,0.82397
0.088085,0.87214
0.303,0.7051
0.33864,0.68953
0.39026,0.61228
0.27194,0.72953
0.30279,0.68969
0.71866,0.2542
0.95146,0.051219
0.070239,0.94956
0.26744,0.71449
0.59307,0.42255
0.83195,0.16145
0.78435,0.2311
0.55304,0.41482
0.017262,0.91936
0.66836,0.2376
0.85308,0.1688
0.04728,0.94437
